x	f(x)
36.2	0.00394
36.3	0.00356
36.4	0.00418
36.5	0.0042
36.6	0.00382
36.7	0.00424
36.8	0.00406
36.9	0.00428
37	0.0033
37.1	0.00447
37.2	0.00444
37.3	0.00321
37.4	0.00408
37.5	0.00345
37.6	0.00312
37.7	0.00369
37.8	0.00336
37.9	0.00333
38	0.0036
38.1	0.00265
38.2	0.0042
38.3	0.00325
38.4	0.0038
38.5	0.00285
38.6	0.0039
38.7	0.00495
38.8	0.005
38.9	0.00505
39	0.0011
39.1	0.00095
39.2	0.0038
39.3	0.00065
39.4	0.002
39.5	0.00635
39.6	0.0032
39.7	0.00305
39.8	0.0014
39.9	0.00275
40	0.003
40.1	0.00184
40.2	0.00308
40.3	0.00312
40.4	0.00276
40.5	0.002
40.6	0.00284
40.7	0.00208
40.8	0.00332
40.9	0.00296
41	0.003
41.1	0.00258
41.2	0.00296
41.3	0.00334
41.4	0.00272
41.5	0.0025
41.6	0.00268
41.7	0.00286
41.8	0.00304
41.9	0.00302
42	0.0037
42.1	0.00289
42.2	0.00118
42.3	0.00397
42.4	0.00136
42.5	0.00235
42.6	0.00334
42.7	0.00343
42.8	0.00352
42.9	0.00271
43	0.0047
43.1	0.00275
43.2	0.0038
43.3	0.00285
43.4	0.0044
43.5	0.00495
43.6	0.003
43.7	0.00305
43.8	0.0031
43.9	0.00465
44	0.005
44.1	0.00572
44.2	0.00484
44.3	0.00396
44.4	0.00548
44.5	0.0054
44.6	0.00532
44.7	0.00204
44.8	0.00516
44.9	0.00188
